Species,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Week,Month,Day,Tmax_x,Tmin_x,Tavg_x,Depart_x,DewPoint_x,WetBulb_x,Heat_x,Cool_x,PrecipTotal_x,StnPressure_x,SeaLevel_x,ResultSpeed_x,ResultDir_x,AvgSpeed_x,Tmax_y,Tmin_y,Tavg_y,DewPoint_y,WetBulb_y,Heat_y,Cool_y,PrecipTotal_y,StnPressure_y,SeaLevel_y,ResultSpeed_y,ResultDir_y,AvgSpeed_y
3,1,41.95469,-87.800991,9,5,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
1,1,41.95469,-87.800991,9,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,13,41.974089,-87.824812,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,13,41.974089,-87.824812,8,2,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,32,41.9216,-87.666455,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,32,41.9216,-87.666455,8,2,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
1,32,41.9216,-87.666455,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,33,41.891118,-87.654491,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,35,41.867108,-87.654224,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,35,41.867108,-87.654224,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
1,35,41.867108,-87.654224,8,2,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,36,41.896282,-87.655232,8,2,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,37,41.919343,-87.694259,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,37,41.919343,-87.694259,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,39,41.921965,-87.632085,8,3,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,65,41.688324,-87.676709,8,4,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,71,41.720848,-87.666014,9,2,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,74,41.731922,-87.677512,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,74,41.731922,-87.677512,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
1,74,41.731922,-87.677512,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,89,41.999129,-87.795585,8,2,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,89,41.999129,-87.795585,8,9,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,99,41.907645,-87.760886,8,3,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,105,41.732984,-87.649642,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,8,41.981964,-87.812827,8,2,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,9,41.944869,-87.832763,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,14,42.011601,-87.811506,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,17,41.94983,-87.698457,9,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,18,41.979243,-87.750938,9,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,20,41.986921,-87.689778,9,2,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,22,41.801498,-87.763416,9,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,23,41.906638,-87.701431,9,3,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,67,41.723195,-87.64997,5,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,68,41.868077,-87.666901,9,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,68,41.868077,-87.666901,9,7,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,70,41.869216,-87.627561,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,85,41.662014,-87.724608,8,2,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,85,41.662014,-87.724608,8,4,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
1,85,41.662014,-87.724608,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,87,41.961743,-87.76007,9,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,87,41.961743,-87.76007,9,2,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,88,41.953067,-87.776792,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,88,41.953067,-87.776792,8,3,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,91,41.878114,-87.629798,3,3,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,92,41.958271,-87.702575,9,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,92,41.958271,-87.702575,9,2,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,93,41.932094,-87.700117,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,95,41.994469,-87.667736,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,96,42.006858,-87.675919,9,2,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,97,41.916265,-87.800515,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,97,41.916265,-87.800515,8,10,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,98,41.846075,-87.716277,9,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,100,41.918705,-87.752329,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,104,41.682587,-87.707973,9,3,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,104,41.682587,-87.707973,9,8,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,108,41.725517,-87.614258,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,114,41.948167,-87.730698,8,2,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,114,41.948167,-87.730698,8,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,116,41.963976,-87.69181,9,1,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,1,41.95469,-87.800991,9,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,1,41.95469,-87.800991,9,4,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
4,1,41.95469,-87.800991,9,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
2,6,41.994991,-87.769279,9,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,6,41.994991,-87.769279,9,4,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,13,41.974089,-87.824812,8,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
2,32,41.9216,-87.666455,8,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,32,41.9216,-87.666455,8,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
2,33,41.891118,-87.654491,8,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,33,41.891118,-87.654491,8,6,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
2,35,41.867108,-87.654224,8,2,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,36,41.896282,-87.655232,8,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,37,41.919343,-87.694259,8,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
2,65,41.688324,-87.676709,8,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
2,65,41.688324,-87.676709,8,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,65,41.688324,-87.676709,8,2,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,74,41.731922,-87.677512,8,5,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
2,84,41.891126,-87.61156,5,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,84,41.891126,-87.61156,5,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
2,89,41.999129,-87.795585,8,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,89,41.999129,-87.795585,8,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
2,94,42.01743,-87.687769,8,2,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,94,42.01743,-87.687769,8,2,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
2,9,41.944869,-87.832763,8,2,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,9,41.944869,-87.832763,8,4,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
2,14,42.011601,-87.811506,8,2,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,14,42.011601,-87.811506,8,2,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,17,41.94983,-87.698457,9,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
2,18,41.979243,-87.750938,9,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
2,20,41.986921,-87.689778,9,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,20,41.986921,-87.689778,9,9,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
2,23,41.906638,-87.701431,9,2,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,23,41.906638,-87.701431,9,3,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
2,68,41.868077,-87.666901,9,10,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,68,41.868077,-87.666901,9,19,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
1,68,41.868077,-87.666901,9,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
2,85,41.662014,-87.724608,8,20,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,85,41.662014,-87.724608,8,25,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
1,85,41.662014,-87.724608,8,6,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
2,87,41.961743,-87.76007,9,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,87,41.961743,-87.76007,9,3,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,88,41.953067,-87.776792,8,4,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,91,41.878114,-87.629798,3,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,92,41.958271,-87.702575,9,6,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,93,41.932094,-87.700117,8,1,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
3,96,42.006858,-87.675919,9,2,0,26,6,26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,91,73,82,69,72,0,17,-99,29.45,30.09,7.3,21,8.1
